<DATE>,<CLOSE>
2017.10.27,32.05
2017.10.30,30.91
2017.10.31,30.24
2017.11.01,29.85
2017.11.03,29.32
2017.11.06,29.08
2017.11.07,27.62
2017.11.08,29.07
2017.11.09,28.32
2017.11.10,27.48
2017.11.13,27.52
2017.11.14,26.87
2017.11.16,28.14
2017.11.17,28.61
2017.11.21,29.1
2017.11.22,28.91
2017.11.23,28.94
2017.11.24,28.79
2017.11.27,28.4
2017.11.28,28.82
2017.11.29,27.51
2017.11.30,26.43
2017.12.01,27.18
2017.12.04,27.84
2017.12.05,27.43
2017.12.06,28.26
2017.12.07,27.17
2017.12.08,27.33
2017.12.11,27.11
2017.12.12,27.7
2017.12.13,27.04
2017.12.14,26.93
2017.12.15,27.08
2017.12.18,27.44
2017.12.19,27.29
2017.12.20,27.3
2017.12.21,27.6
2017.12.22,27.7
2017.12.26,28.0
2017.12.27,28.35
2017.12.28,28.16
2018.01.02,29.14
2018.01.03,29.52
2018.01.04,29.8
2018.01.05,29.8
2018.01.08,29.87
2018.01.09,29.59
2018.01.10,29.46
2018.01.11,30.14
2018.01.12,30.21
2018.01.15,30.36
2018.01.16,30.62
2018.01.17,31.35
2018.01.18,31.14
2018.01.19,30.93
2018.01.22,31.04
2018.01.23,31.15
2018.01.24,33.62
2018.01.26,34.67
2018.01.29,34.47
2018.01.30,34.34
2018.01.31,35.12
2018.02.01,35.22
2018.02.02,34.74
2018.02.05,33.7
2018.02.06,35.18
2018.02.07,35.22
2018.02.08,34.11
2018.02.09,33.47
2018.02.14,35.01
2018.02.15,35.31
2018.02.16,35.67
2018.02.19,35.07
2018.02.20,36.11
2018.02.21,36.39
2018.02.22,37.53
2018.02.23,37.53
2018.02.26,38.07
2018.02.27,37.7
2018.02.28,36.99
2018.03.01,37.26
2018.03.02,37.53
2018.03.05,37.84
2018.03.06,38.68
2018.03.07,38.41
2018.03.08,38.62
2018.03.09,38.88
2018.03.12,38.67
2018.03.13,38.17
2018.03.14,37.84
2018.03.15,37.76
2018.03.16,37.77
2018.03.19,36.88
2018.03.20,37.02
2018.03.21,37.64
2018.03.22,36.96
2018.03.23,36.7
2018.03.26,36.95
2018.03.27,36.03
2018.03.28,35.92
2018.03.29,36.55
2018.04.02,35.86
2018.04.03,35.38
2018.04.04,35.68
2018.04.05,36.72
2018.04.06,36.24
2018.04.09,34.92
2018.04.10,34.5
2018.04.11,34.79
2018.04.12,34.7
2018.04.13,33.53
2018.04.16,32.34
2018.04.17,33.11
2018.04.18,33.87
2018.04.19,33.89
2018.04.20,33.51
2018.04.23,32.91
2018.04.24,32.59
2018.04.25,33.01
2018.04.26,33.27
2018.04.27,33.27
2018.04.30,32.69
2018.05.02,32.09
2018.05.03,31.18
2018.05.04,31.12
2018.05.07,31.08
2018.05.08,31.93
2018.05.09,33.27
2018.05.10,32.05
2018.05.11,31.9
2018.05.14,31.11
2018.05.15,30.26
2018.05.16,30.71
2018.05.17,29.28
2018.05.18,29.12
2018.05.21,28.43
2018.05.22,29.03
2018.05.23,28.4
2018.05.24,27.53
2018.05.25,26.96
2018.05.28,24.98
2018.05.29,25.54
2018.05.30,27.21
2018.06.01,27.47
2018.06.04,27.86
2018.06.05,26.09
2018.06.06,24.8
2018.06.07,23.8
2018.06.08,24.15
2018.06.11,23.35
2018.06.12,24.24
2018.06.13,23.8
2018.06.14,22.72
2018.06.15,22.45
2018.06.18,22.02
2018.06.19,23.57
2018.06.20,24.25
2018.06.21,23.36
2018.06.22,23.44
2018.06.25,24.12
2018.06.26,24.41
2018.06.27,23.91
2018.06.28,25.28
2018.06.29,25.73
2018.07.02,26.4
2018.07.03,26.63
2018.07.04,27.39
2018.07.05,26.76
2018.07.06,26.46
2018.07.10,26.24
2018.07.11,26.76
2018.07.12,27.27
2018.07.13,27.96
2018.07.16,27.65
2018.07.17,28.58
2018.07.18,28.4
2018.07.19,28.15
2018.07.20,29.64
2018.07.23,29.44
2018.07.24,29.68
2018.07.25,30.15
2018.07.26,29.17
2018.07.27,29.53
2018.07.30,29.54
2018.07.31,29.19
2018.08.01,29.61
2018.08.02,29.85
2018.08.03,30.74
2018.08.06,30.81
2018.08.07,30.15
2018.08.08,29.31
2018.08.09,30.18
2018.08.10,28.52
2018.08.13,28.65
2018.08.14,29.64
2018.08.15,29.01
2018.08.16,29.1
2018.08.17,28.08
2018.08.20,27.33
2018.08.21,26.24
2018.08.22,27.16
2018.08.23,26.47
2018.08.24,26.83
2018.08.27,27.65
2018.08.28,27.52
2018.08.29,28.14
2018.08.30,27.09
2018.08.31,27.25
2018.09.03,26.6
2018.09.04,25.93
2018.09.05,25.97
2018.09.06,26.55
2018.09.10,26.19
2018.09.11,25.0
2018.09.12,25.1
2018.09.13,24.77
2018.09.14,24.97
2018.09.17,25.82
2018.09.18,26.97
2018.09.19,26.7
2018.09.20,26.77
2018.09.21,27.75
2018.09.24,26.98
2018.09.25,26.82
2018.09.26,26.73
2018.09.27,27.49
2018.09.28,26.73
2018.10.01,25.6
2018.10.02,28.53
2018.10.03,31.11
2018.10.04,31.87
2018.10.05,32.44
2018.10.08,35.58
2018.10.09,35.4
2018.10.10,33.9
2018.10.11,33.76
2018.10.15,34.23
2018.10.16,35.73
2018.10.17,36.04
2018.10.18,35.62
2018.10.19,35.92
2018.10.22,36.17
2018.10.23,36.29
2018.10.24,35.49
2018.10.25,36.39
2018.10.26,38.5
2018.10.29,38.0
2018.10.30,39.12
2018.10.31,38.8
2018.11.01,39.37
2018.11.05,39.4
2018.11.06,38.55
2018.11.07,37.62
2018.11.08,36.85
2018.11.09,37.66
2018.11.12,38.28
2018.11.13,37.85
2018.11.14,37.91
2018.11.16,39.11
2018.11.19,40.02
2018.11.21,39.93
2018.11.22,40.67
2018.11.23,40.99
2018.11.26,40.27
2018.11.27,41.22
2018.11.28,41.87
2018.11.29,41.39
2018.11.30,40.84
2018.12.03,40.35
2018.12.04,39.95
2018.12.05,40.35
2018.12.06,40.6
2018.12.07,40.29
2018.12.10,39.11
2018.12.11,39.34
2018.12.12,39.43
2018.12.13,40.43
2018.12.14,40.45
2018.12.17,40.09
2018.12.18,40.18
2018.12.19,40.18
2018.12.20,40.43
2018.12.21,40.44
2018.12.26,40.71
2018.12.27,41.39
2018.12.28,42.64
2019.01.02,44.58
2019.01.03,44.76
2019.01.04,44.76
2019.01.07,44.47
2019.01.08,43.97
2019.01.09,43.85
2019.01.10,44.49
2019.01.11,44.67
2019.01.14,45.71
2019.01.15,45.18
